/QB_1 (VDDL=0.4) X,/QB_1 (VDDL=0.4) Y,/QB_1 (VDDL=0.425) X,/QB_1 (VDDL=0.425) Y,/QB_1 (VDDL=0.45) X,/QB_1 (VDDL=0.45) Y,/QB_1 (VDDL=0.475) X,/QB_1 (VDDL=0.475) Y,/QB_1 (VDDL=0.5) X,/QB_1 (VDDL=0.5) Y,/QB_1 (VDDL=0.525) X,/QB_1 (VDDL=0.525) Y,/QB_1 (VDDL=0.55) X,/QB_1 (VDDL=0.55) Y,/QB_1 (VDDL=0.575) X,/QB_1 (VDDL=0.575) Y,/QB_1 (VDDL=0.6) X,/QB_1 (VDDL=0.6) Y,/QB_1 (VDDL=0.625) X,/QB_1 (VDDL=0.625) Y,/QB_1 (VDDL=0.65) X,/QB_1 (VDDL=0.65) Y,/QB_1 (VDDL=0.675) X,/QB_1 (VDDL=0.675) Y,/QB_1 (VDDL=0.7) X,/QB_1 (VDDL=0.7) Y,/QB_1 (VDDL=0.725) X,/QB_1 (VDDL=0.725) Y,/QB_1 (VDDL=0.75) X,/QB_1 (VDDL=0.75) Y,/QB_1 (VDDL=0.775) X,/QB_1 (VDDL=0.775) Y,/QB_1 (VDDL=0.8) X,/QB_1 (VDDL=0.8) Y,/QB_1 (VDDL=0.825) X,/QB_1 (VDDL=0.825) Y,/QB_1 (VDDL=0.85) X,/QB_1 (VDDL=0.85) Y,/QB_1 (VDDL=0.875) X,/QB_1 (VDDL=0.875) Y,/QB_1 (VDDL=0.9) X,/QB_1 (VDDL=0.9) Y
0,0.8999919063900328,0,0.8999919064127019,0,0.8999919064239003,0,0.8999919064298719,0,0.8999919064334453,0,0.8999919064358971,0,0.8999919064378022,0,0.8999919064394196,0,0.8999919064408668,0,0.8999919064421985,0,0.8999919064434411,0,0.8999919064446085,0,0.8999919064457091,0,0.899991906446749,0,0.8999919064477331,0,0.8999919064486659,0,0.8999919064495522,0,0.8999919064503975,0,0.8999919064512085,0,0.8999919064519943,0,0.8999919064527678
0.018,0.899986698578719,0.018,0.8999866986022427,0.018,0.8999866986138632,0.018,0.89998669862006,0.018,0.8999866986237681,0.018,0.8999866986263123,0.018,0.8999866986282892,0.018,0.8999866986299676,0.018,0.8999866986314694,0.018,0.8999866986328513,0.018,0.8999866986341407,0.018,0.8999866986353521,0.018,0.8999866986364943,0.018,0.8999866986375734,0.018,0.8999866986385945,0.018,0.8999866986395625,0.018,0.8999866986404822,0.018,0.8999866986413594,0.018,0.899986698642201,0.018,0.8999866986430165,0.018,0.8999866986438191
0.036,0.8999780934641323,0.036,0.8999780934886165,0.036,0.8999780935007116,0.036,0.8999780935071614,0.036,0.8999780935110209,0.036,0.8999780935136691,0.036,0.8999780935157268,0.036,0.8999780935174737,0.036,0.8999780935190368,0.036,0.8999780935204752,0.036,0.8999780935218172,0.036,0.8999780935230781,0.036,0.8999780935242669,0.036,0.8999780935253902,0.036,0.8999780935264531,0.036,0.8999780935274605,0.036,0.8999780935284178,0.036,0.8999780935293309,0.036,0.8999780935302069,0.036,0.8999780935310557,0.036,0.8999780935318911
0.05400000000000001,0.8999638499467695,0.05400000000000001,0.8999638499723395,0.05400000000000001,0.8999638499849709,0.05400000000000001,0.8999638499917068,0.05400000000000001,0.8999638499957375,0.05400000000000001,0.8999638499985032,0.05400000000000001,0.8999638500006522,0.05400000000000001,0.8999638500024766,0.05400000000000001,0.8999638500041091,0.05400000000000001,0.8999638500056113,0.05400000000000001,0.8999638500070128,0.05400000000000001,0.8999638500083297,0.05400000000000001,0.8999638500095714,0.05400000000000001,0.8999638500107443,0.05400000000000001,0.8999638500118544,0.05400000000000001,0.8999638500129066,0.05400000000000001,0.8999638500139064,0.05400000000000001,0.8999638500148599,0.05400000000000001,0.8999638500157748,0.05400000000000001,0.8999638500166613,0.05400000000000001,0.8999638500175338
0.07200000000000001,0.8999402367133421,0.07200000000000001,0.8999402367401456,0.07200000000000001,0.8999402367533863,0.07200000000000001,0.8999402367604471,0.07200000000000001,0.8999402367646724,0.07200000000000001,0.8999402367675714,0.07200000000000001,0.8999402367698242,0.07200000000000001,0.8999402367717366,0.07200000000000001,0.899940236773448,0.07200000000000001,0.8999402367750227,0.07200000000000001,0.8999402367764919,0.07200000000000001,0.8999402367778724,0.07200000000000001,0.8999402367791739,0.07200000000000001,0.8999402367804036,0.07200000000000001,0.8999402367815672,0.07200000000000001,0.8999402367826702,0.07200000000000001,0.8999402367837183,0.07200000000000001,0.8999402367847179,0.07200000000000001,0.8999402367856769,0.07200000000000001,0.8999402367866063,0.07200000000000001,0.8999402367875209
0.09000000000000001,0.8999010386683429,0.09000000000000001,0.8999010386965549,0.09000000000000001,0.8999010387104917,0.09000000000000001,0.8999010387179236,0.09000000000000001,0.8999010387223709,0.09000000000000001,0.8999010387254226,0.09000000000000001,0.8999010387277937,0.09000000000000001,0.8999010387298069,0.09000000000000001,0.8999010387316083,0.09000000000000001,0.8999010387332659,0.09000000000000001,0.8999010387348124,0.09000000000000001,0.8999010387362655,0.09000000000000001,0.8999010387376355,0.09000000000000001,0.89990103873893,0.09000000000000001,0.8999010387401548,0.09000000000000001,0.8999010387413159,0.09000000000000001,0.8999010387424192,0.09000000000000001,0.8999010387434713,0.09000000000000001,0.8999010387444809,0.09000000000000001,0.8999010387454592,0.09000000000000001,0.899901038746422
0.108,0.8998359066835975,0.108,0.8998359067134284,0.108,0.8998359067281647,0.108,0.8998359067360232,0.108,0.899835906740726,0.108,0.8998359067439529,0.108,0.8998359067464603,0.108,0.8998359067485892,0.108,0.8998359067504941,0.108,0.8998359067522469,0.108,0.8998359067538825,0.108,0.8998359067554191,0.108,0.8998359067568679,0.108,0.8998359067582368,0.108,0.8998359067595321,0.108,0.89983590676076,0.108,0.8998359067619266,0.108,0.8998359067630394,0.108,0.8998359067641071,0.108,0.8998359067651417,0.108,0.89983590676616
0.126,0.8997276264840841,0.126,0.8997276265157881,0.126,0.8997276265314498,0.126,0.8997276265398019,0.126,0.8997276265448002,0.126,0.89972762654823,0.126,0.8997276265508952,0.126,0.8997276265531581,0.126,0.899727626555183,0.126,0.8997276265570463,0.126,0.8997276265587848,0.126,0.8997276265604183,0.126,0.8997276265619584,0.126,0.8997276265634134,0.126,0.8997276265647904,0.126,0.8997276265660956,0.126,0.8997276265673358,0.126,0.8997276265685188,0.126,0.8997276265696538,0.126,0.8997276265707538,0.126,0.8997276265718365
0.144,0.8995476201109455,0.144,0.8995476201448338,0.144,0.8995476201615749,0.144,0.8995476201705027,0.144,0.8995476201758459,0.144,0.8995476201795126,0.144,0.8995476201823621,0.144,0.8995476201847815,0.144,0.8995476201869466,0.144,0.8995476201889389,0.144,0.8995476201907977,0.144,0.8995476201925443,0.144,0.899547620194191,0.144,0.8995476201957469,0.144,0.8995476201972192,0.144,0.8995476201986149,0.144,0.8995476201999411,0.144,0.8995476202012059,0.144,0.8995476202024197,0.144,0.8995476202035962,0.144,0.8995476202047543
0.162,0.8992485708260027,0.162,0.8992485708624622,0.162,0.8992485708804737,0.162,0.8992485708900796,0.162,0.8992485708958291,0.162,0.8992485708997751,0.162,0.8992485709028419,0.162,0.8992485709054461,0.162,0.8992485709077765,0.162,0.8992485709099211,0.162,0.899248570911922,0.162,0.8992485709138021,0.162,0.8992485709155746,0.162,0.8992485709172495,0.162,0.8992485709188345,0.162,0.8992485709203369,0.162,0.8992485709217646,0.162,0.8992485709231264,0.162,0.8992485709244333,0.162,0.8992485709257002,0.162,0.8992485709269477
