/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) Y
0,1.199997986836104,0,1.199999778115807,0,1.199999750287615,0,1.19998479604896,0,1.199981496578449
0.024,1.199996029617762,0.024,1.199999653038073,0.024,1.199999580277942,0.024,1.199967550247664,0.024,1.19996092913996
0.048,1.199992087693243,0.048,1.199999398211788,0.048,1.199999237405051,0.048,1.199931025770299,0.048,1.199918203544101
0.07200000000000001,1.199984179886181,0.07200000000000001,1.199998876132156,0.07200000000000001,1.199998546089442,0.07200000000000001,1.199854539327554,0.07200000000000001,1.199830921106198
0.096,1.199968408129945,0.096,1.199997803363168,0.096,1.199997154270247,0.096,1.199696749559971,0.096,1.199656266940955
0.12,1.19993720662203,0.12,1.199995596273706,0.12,1.199994359619275,0.12,1.199377330153071,0.12,1.199315133843624
0.144,1.199876148632876,0.144,1.199991055826722,0.144,1.199988771361252,0.144,1.198745176925368,0.144,1.198666772018996
0.168,1.199758312472393,0.168,1.199981728218211,0.168,1.19997766353672,0.168,1.197526340844784,0.168,1.197472582046409
0.192,1.199534664816064,0.192,1.199962622217815,0.192,1.199955766626614,0.192,1.195246659415761,0.192,1.195355883929581
0.216,1.199118132347818,0.216,1.199923675401317,0.216,1.199913074730427,0.216,1.191135148950322,0.216,1.191778612887115
0.24,1.198358125711012,0.24,1.199844849314033,0.24,1.19983099629636,0.24,1.184029639811536,0.24,1.186058450231787
0.264,1.197002287067541,0.264,1.199686860326162,0.264,1.199675815477877,0.264,1.172292837528037,0.264,1.17742317759982
0.288,1.194645046993586,0.288,1.199374089492267,0.288,1.199387904485503,0.288,1.153667068936843,0.288,1.165060169172533
